age,gender,sleep_hours,screen_time_hours,distance_travelled_km,places_visited,exercise_minutes,work_hours,social_score,caffeine_mg,step_count,study_hours,phone_usage_type,screen_to_sleep_ratio,movement_intensity,stress_score,stress_level,random_noise_feature
23,Female,4.7,2.4,7.0,3,86,7,8,395,5653,0.2,mixed,0.511,2.333,42.0,medium,145.9648
23,Female,5.6,7.7,11.3,4,36,5,9,201,4512,2.1,gaming,1.375,2.825,44.5,medium,431.726
22,Female,6.8,7.2,10.4,3,22,6,9,6,9066,2.0,social,1.059,3.467,40.1,medium,951.7844
27,Male,5.4,2.9,8.8,6,61,9,6,103,6783,3.0,mixed,0.537,1.467,44.5,medium,195.2748
39,Female,5.3,9.1,7.2,6,87,10,6,25,6942,0.9,gaming,1.717,1.2,73.9,high,311.7111
50,Female,5.8,3.7,0.9,7,60,9,3,52,9762,4.4,study,0.638,0.129,51.8,medium,772.8996
52,Male,4.7,4.7,0.7,7,1,10,9,260,11130,4.8,gaming,1.0,0.1,79.8,high,123.2116
53,Male,5.3,5.8,3.4,3,29,5,2,330,3900,1.1,social,1.094,1.133,58.4,medium,465.8218
45,Female,8.3,1.5,5.1,4,57,5,3,122,9699,4.7,study,0.181,1.275,41.9,medium,518.048
21,Male,7.8,4.7,5.1,1,84,10,9,344,8262,1.0,social,0.603,5.1,37.1,low,652.4347
36,Male,8.1,3.9,5.6,6,60,7,3,277,7673,2.4,mixed,0.481,0.933,40.8,medium,695.428
36,Female,8.8,7.0,3.2,2,45,6,2,186,3424,1.8,social,0.795,1.6,50.9,medium,953.4235
19,Male,7.5,7.1,2.5,3,61,7,1,344,3073,4.5,study,0.947,0.833,49.6,medium,138.8215
46,Female,6.3,9.9,1.9,7,74,10,6,386,4936,4.9,study,1.571,0.271,81.2,high,550.4386
46,Female,5.6,5.4,9.2,6,73,7,7,186,10982,4.6,study,0.964,1.533,27.2,low,153.1281
20,Female,8.6,6.5,4.1,7,79,8,3,170,2385,0.3,social,0.756,0.586,25.9,low,49.318
37,Male,5.8,2.7,3.9,5,65,5,8,365,7569,2.6,study,0.466,0.78,41.8,medium,386.1225
54,Male,7.1,3.3,2.0,2,16,9,2,94,4640,2.5,mixed,0.465,1.0,55.8,medium,82.2289
52,Male,7.0,1.8,1.4,6,11,5,1,54,7946,1.3,mixed,0.257,0.233,54.0,medium,381.6119
38,Female,8.6,7.5,8.7,6,60,4,8,89,9199,4.1,study,0.872,1.45,45.4,medium,792.5196
33,Male,8.4,3.1,11.6,6,20,5,9,93,3186,3.1,gaming,0.369,1.933,54.5,medium,783.9679
49,Female,5.4,2.6,5.7,7,10,8,9,353,11394,0.3,mixed,0.481,0.814,50.5,medium,824.1967
22,Male,6.9,9.2,2.1,6,27,9,7,200,6285,3.9,study,1.333,0.35,60.0,medium,985.8025
36,Female,4.7,10.0,6.3,3,68,4,9,374,3574,4.6,study,2.128,2.1,71.7,high,144.8517
43,Male,5.8,9.6,5.7,5,80,9,5,389,7727,4.3,gaming,1.655,1.14,72.3,high,958.4288
40,Female,8.0,3.8,6.3,6,35,10,9,53,11933,4.2,study,0.475,1.05,44.4,medium,564.9609
19,Male,5.4,8.3,10.1,7,51,4,5,211,1588,3.7,study,1.537,1.443,50.8,medium,25.7042
50,Male,7.6,9.5,10.3,7,8,9,8,318,6113,3.0,gaming,1.25,1.471,53.5,medium,937.2238
47,Male,6.1,8.3,3.1,3,55,10,3,280,5526,3.3,study,1.361,1.033,74.5,high,313.4667
34,Male,4.9,4.2,5.6,1,3,10,1,249,4366,2.9,mixed,0.857,5.6,68.1,medium,154.732
21,Female,7.8,5.6,6.3,7,81,9,3,382,8652,1.4,social,0.718,0.9,39.2,low,554.7473
19,Female,5.8,6.8,8.1,7,32,7,8,41,5791,3.6,social,1.172,1.157,45.5,medium,781.3932
54,Other,8.4,9.4,6.2,4,24,4,5,105,8119,0.1,social,1.119,1.55,94.5,high,670.3166
40,Female,8.4,3.4,7.5,2,42,7,9,259,9658,4.4,study,0.405,3.75,35.7,low,779.3466
27,Male,7.0,9.1,3.0,4,65,5,6,87,2994,4.5,study,1.3,0.75,50.8,medium,591.3733
36,Female,5.4,3.9,1.9,7,76,4,2,288,11638,2.2,mixed,0.722,0.271,49.7,medium,635.0769
38,Male,8.8,7.8,10.0,5,44,9,6,96,6688,3.2,study,0.886,2.0,44.7,medium,105.535
54,Male,4.9,9.5,5.6,2,64,8,3,327,4663,4.9,study,1.939,2.8,63.5,medium,141.0578
27,Male,7.4,6.0,11.3,2,27,5,9,99,6974,3.6,study,0.811,5.65,33.9,low,889.1405
25,Female,7.9,8.8,3.7,7,59,8,6,131,4279,0.2,gaming,1.114,0.529,50.0,medium,680.3702
40,Male,8.7,5.7,,1,3,5,8,51,5536,1.9,social,0.655,4.6,45.1,medium,311.5422
32,Male,7.8,4.7,5.7,2,64,6,9,200,3157,0.4,social,0.603,2.85,33.9,low,348.0803
32,Male,7.3,5.1,6.6,6,2,7,5,129,4410,4.9,study,0.699,1.1,45.7,medium,548.1994
53,Female,7.9,5.9,0.8,6,4,4,7,232,3915,0.7,social,0.747,0.133,48.0,medium,2.3786
40,Female,8.4,,5.0,6,69,8,5,268,2789,0.7,social,0.81,0.833,40.7,medium,534.4873
21,Female,4.8,5.8,2.5,1,21,5,6,48,9615,3.9,study,1.208,2.5,72.0,high,8.0873
36,Male,6.3,1.1,,4,38,10,3,329,7210,1.3,mixed,0.175,1.8,77.0,high,722.571
23,Male,7.5,6.0,3.6,7,59,9,1,185,2946,3.8,study,0.8,0.514,48.4,medium,906.6443
31,Female,5.9,8.4,2.0,4,3,10,6,379,2469,1.3,gaming,1.424,0.5,67.7,medium,577.5322
43,Male,6.6,2.9,10.2,5,65,9,8,276,1591,0.5,mixed,0.439,2.04,49.5,medium,356.5321
34,Male,4.9,1.7,6.4,2,46,4,9,360,10124,5.0,study,0.347,3.2,47.5,medium,657.107
48,Female,5.9,8.7,10.9,2,51,10,3,269,10432,2.3,gaming,1.475,5.45,55.7,medium,281.8596
54,Male,8.6,8.0,11.4,2,75,6,2,246,9673,4.1,study,0.93,5.7,39.1,low,542.291
20,Female,7.1,8.7,11.0,5,5,4,5,303,4237,2.9,study,1.225,2.2,49.8,medium,140.9948
44,Female,8.2,6.2,11.3,3,8,10,2,308,2850,2.1,social,0.756,3.767,49.7,medium,926.7162
26,Other,6.2,4.3,6.3,7,26,8,9,94,11277,3.2,study,0.694,0.9,42.2,medium,21.6674
37,Male,7.0,7.0,8.4,2,9,10,1,86,5854,0.8,social,1.0,4.2,86.3,high,537.682
23,Female,6.3,4.6,10.5,6,34,7,5,110,7650,3.4,study,0.73,1.75,39.0,low,306.7574
45,Female,7.5,8.6,9.9,2,7,6,6,202,10144,0.2,gaming,1.147,4.95,49.8,medium,610.109
27,Male,6.2,9.4,5.9,6,50,9,3,48,4028,2.8,gaming,1.516,0.983,59.2,medium,278.4613
31,Other,6.8,9.5,5.0,3,62,4,3,218,11249,1.5,gaming,1.397,1.667,53.4,medium,12.7885
19,Female,8.9,7.5,11.3,4,51,10,6,233,1651,1.4,gaming,0.843,2.825,43.8,medium,314.1751
41,Male,5.3,9.4,1.0,5,45,7,1,53,3095,1.3,gaming,1.774,0.2,68.9,medium,804.3057
46,Female,7.5,2.4,3.4,7,25,9,3,257,3538,0.1,mixed,0.32,0.486,52.7,medium,747.3411
47,Male,7.1,4.3,8.3,4,19,10,9,261,8169,0.9,mixed,0.606,2.075,19.5,low,393.4845
21,Male,8.7,7.9,10.4,2,76,7,7,214,3244,1.4,gaming,0.908,5.2,30.6,low,391.967
41,Male,5.8,1.0,7.2,4,70,9,5,345,6252,2.2,mixed,0.172,1.8,43.0,medium,949.3932
18,Female,8.1,1.2,11.4,2,70,10,2,351,8842,0.6,study,0.148,5.7,39.0,low,867.7025
42,Female,5.9,2.6,3.5,3,65,5,7,39,8555,4.3,study,0.441,1.167,42.6,medium,234.1587
28,Male,6.7,3.2,11.9,4,21,10,3,187,5515,4.9,study,0.478,2.975,32.6,low,684.254
36,Female,8.2,2.5,8.9,3,23,8,7,118,10220,1.0,mixed,0.305,2.967,39.5,low,789.0636
34,Female,7.2,2.7,28.0,2,61,8,1,292,6661,0.2,mixed,0.375,0.8,45.7,medium,524.5047
39,Male,6.4,7.5,0.8,5,60,10,8,16,10848,3.1,study,1.172,0.16,50.8,medium,891.3212
52,Female,7.2,2.9,7.6,7,66,6,5,365,6181,1.4,mixed,0.403,1.086,35.3,low,42.128
46,Female,6.3,5.5,9.9,4,65,6,8,236,3797,4.0,study,0.873,2.475,31.1,low,763.2858
51,Female,6.2,9.8,2.0,4,35,10,8,284,4416,2.3,gaming,1.581,0.5,86.4,high,263.5572
48,Female,7.7,18.0,6.3,6,73,7,6,301,7616,3.6,study,0.221,1.05,34.6,low,662.2335
22,Female,8.0,2.6,2.6,4,12,7,9,265,11297,4.8,study,0.325,0.65,46.0,medium,173.0476
19,Male,7.5,3.1,4.5,4,35,4,6,106,8837,1.0,mixed,0.413,1.125,43.6,medium,195.7265
52,Female,7.8,1.7,,1,81,5,8,183,6575,3.2,study,0.218,3.8,28.2,low,3.3625
44,Female,7.6,7.0,6.0,2,19,7,3,20,7423,1.7,social,0.921,3.0,77.6,high,161.155
25,Male,7.7,5.5,8.9,5,62,7,8,71,5377,4.4,mixed,0.714,1.78,31.5,low,754.8998
37,Male,8.2,4.0,6.1,1,5,8,7,296,11262,3.4,study,0.488,6.1,44.3,medium,607.5485
29,Male,,9.7,2.1,2,31,4,5,282,10210,3.4,study,1.865,1.05,69.2,medium,103.1268
35,Female,8.2,4.0,6.3,2,46,7,4,59,10808,0.2,mixed,0.488,3.15,65.5,medium,178.5392
25,Male,6.5,6.1,6.7,4,61,5,7,89,8879,3.4,social,0.938,1.675,35.6,low,111.5071
27,Female,7.1,4.0,4.5,5,21,6,9,150,5637,3.8,study,0.563,0.9,43.1,medium,787.3394
41,Male,8.7,10.0,6.6,5,55,9,8,61,6768,4.2,study,1.149,1.32,52.5,medium,535.3974
48,Male,5.9,5.1,3.6,5,18,9,2,218,7327,3.6,study,0.864,0.72,40.0,medium,539.8416
33,Female,6.4,7.8,1.7,5,66,7,9,329,1514,0.3,gaming,1.219,0.34,43.8,medium,173.9044
26,Female,5.6,9.1,1.5,1,61,4,8,121,7860,0.8,gaming,1.625,1.5,55.9,medium,343.9718
49,Female,7.9,3.1,,6,74,7,7,50,7005,2.8,mixed,0.392,1.433,30.7,low,205.7829
18,Female,4.8,1.5,2.3,5,49,8,5,66,4105,1.8,mixed,0.312,0.46,55.8,medium,247.2797
36,Female,4.6,1.5,1.5,7,86,7,2,392,1739,3.8,study,0.326,0.214,70.6,high,499.6356
44,Male,5.3,9.9,8.1,4,57,5,6,99,11680,4.0,gaming,1.868,2.025,57.4,medium,756.4107
26,Male,7.2,2.7,5.4,7,64,7,6,53,9406,3.0,mixed,0.375,0.771,37.3,low,62.2541
45,Male,4.9,9.9,7.1,4,47,5,7,187,2593,4.3,study,2.02,1.775,67.4,medium,800.0386
38,Male,8.1,5.5,10.2,1,20,4,1,264,10339,3.3,study,0.679,10.2,44.5,medium,826.8623
30,Male,6.8,8.6,11.5,3,61,10,2,276,7636,2.4,gaming,1.265,3.833,49.6,medium,571.3077
50,Female,8.4,7.7,8.1,3,19,5,6,88,3732,1.1,gaming,0.917,2.7,60.2,medium,503.4018
24,Female,4.9,7.7,5.3,6,0,4,9,220,7190,1.5,gaming,1.571,0.883,60.4,medium,728.8664
31,Male,6.0,7.9,9.2,3,32,10,1,283,9405,4.1,mixed,1.317,3.067,51.5,medium,486.5802
36,Male,5.7,3.6,6.4,1,35,5,9,150,9620,2.7,mixed,0.632,6.4,43.9,medium,654.839
54,Female,7.5,7.4,10.5,4,40,6,9,392,10726,3.5,study,0.987,2.625,37.4,low,202.4197
33,Female,5.8,8.7,11.1,1,24,8,7,133,2259,4.4,study,1.5,11.1,51.0,medium,461.8343
35,Female,6.4,5.0,1.9,2,31,7,3,224,4486,1.7,social,0.781,0.95,49.8,medium,115.6035
22,Male,7.5,3.7,3.4,4,14,6,4,48,1860,5.0,study,0.493,0.85,50.5,medium,136.5383
53,Female,4.8,5.1,28.0,1,61,4,6,58,5336,3.4,study,1.062,8.1,46.5,medium,543.6201
46,Male,4.7,6.5,2.3,5,73,7,5,358,6637,0.8,social,1.383,0.46,60.6,medium,44.2422
51,Female,,8.9,10.0,3,14,5,8,52,7139,2.8,gaming,1.413,3.333,50.1,medium,606.291
54,Male,8.9,2.4,8.2,4,26,6,8,375,9462,0.2,mixed,0.27,2.05,38.8,low,6.8656
25,Female,5.0,8.7,5.6,2,7,6,3,41,8679,0.4,gaming,1.74,2.8,68.8,medium,716.085
26,Female,5.7,6.5,3.8,4,82,7,7,338,5154,3.5,study,1.14,0.95,42.3,medium,667.3225
20,Male,5.3,3.4,4.0,7,41,7,7,261,6229,4.1,study,0.642,0.571,50.5,medium,763.9698
30,Female,4.8,5.6,0.7,1,74,4,4,357,5337,1.8,social,1.167,0.7,52.3,medium,602.2444
25,Male,7.5,2.1,4.5,5,23,9,1,154,2542,1.3,mixed,0.28,0.9,45.3,medium,53.4797
26,Female,7.5,5.4,9.7,2,71,4,9,174,1606,2.2,social,0.72,4.85,27.9,low,715.6582
29,Female,5.2,2.5,11.2,4,2,5,5,383,5337,4.6,gaming,0.481,2.8,49.3,medium,764.3148
30,Male,7.7,8.3,4.7,7,22,5,8,302,8666,4.1,study,1.078,0.671,51.8,medium,654.4744
26,Male,5.6,3.6,10.8,7,68,10,2,323,5014,3.9,study,0.643,1.543,46.4,medium,122.0768
36,Male,6.5,1.9,11.0,7,42,5,7,153,5171,4.2,study,0.292,1.571,33.5,low,749.9955
20,Male,6.2,3.2,9.5,6,62,7,3,297,7483,0.0,mixed,0.516,1.583,37.8,low,256.3535
40,Male,6.3,5.9,5.7,1,6,10,5,354,3622,1.3,social,0.937,5.7,54.2,medium,161.8894
23,Male,5.3,1.5,2.6,2,28,4,6,273,6904,0.1,mixed,0.283,1.3,68.6,medium,281.7523
41,Male,7.0,1.1,3.2,6,73,8,5,197,7558,0.8,mixed,0.157,0.533,39.3,low,317.882
52,Male,7.3,9.0,10.7,2,61,10,3,302,1816,1.9,gaming,1.233,5.35,51.0,medium,289.1781
53,Female,7.1,1.7,6.2,1,71,7,1,34,4311,1.0,mixed,0.239,6.2,40.1,medium,901.6139
34,Female,7.3,6.2,9.5,6,21,7,1,141,3936,0.7,social,0.849,1.583,61.5,medium,743.1392
40,Female,7.5,6.3,5.8,1,28,4,3,310,3547,3.5,study,0.84,5.8,47.3,medium,842.8582
40,Male,7.6,4.2,8.5,4,86,7,2,290,8932,4.8,study,0.553,2.125,33.6,low,752.1309
47,Male,6.1,5.3,7.9,7,33,4,7,113,4642,0.8,social,0.869,1.129,41.7,medium,182.8322
21,Female,5.4,4.4,9.1,3,81,4,6,141,11349,4.4,study,0.815,3.033,37.5,low,259.1794
32,Female,8.0,1.2,4.9,6,67,7,7,138,11775,3.2,study,0.15,0.817,36.4,low,139.0378
39,Female,5.0,5.5,2.5,7,39,8,8,45,6504,2.0,social,1.1,0.357,53.2,medium,702.3418
46,Male,5.0,1.8,,1,64,4,2,37,7621,4.0,study,0.36,7.5,49.3,medium,647.8298
46,Male,,6.8,2.8,6,16,4,4,291,6682,1.0,social,0.829,0.467,53.6,medium,458.9897
28,Male,7.0,9.8,0.9,7,62,4,8,99,1529,1.7,gaming,1.4,0.129,76.1,high,277.7284
36,Male,6.8,,3.5,5,79,5,2,228,11712,0.1,social,0.676,0.7,15.6,low,802.0738
52,Male,8.3,7.2,3.0,6,10,4,5,159,7191,0.6,gaming,0.867,0.5,67.2,medium,24.6827
42,Male,5.1,9.8,10.9,3,83,8,7,227,1769,5.0,study,1.922,3.633,49.4,medium,873.9393
21,Male,7.1,5.1,6.1,4,49,5,1,243,8222,2.6,social,0.718,1.525,63.8,medium,340.3733
43,Female,5.8,2.4,10.5,4,43,10,7,167,11166,4.1,study,0.414,2.625,44.9,medium,894.2113
28,Male,6.7,3.2,11.9,4,21,10,3,187,5515,4.9,study,0.478,2.975,32.6,low,684.254
42,Female,6.5,7.2,,6,65,7,8,231,8273,1.7,gaming,1.108,0.6,41.5,medium,362.5372
49,Female,8.4,5.4,2.2,7,68,10,6,351,10338,2.3,social,0.643,0.314,45.5,medium,372.9801
29,Male,6.0,7.3,3.7,2,18,7,3,126,6851,3.2,study,1.217,1.85,76.1,high,729.9073
46,Female,4.9,3.5,7.3,5,26,4,1,185,3467,4.6,study,0.714,1.46,58.1,medium,284.6547
19,Male,5.9,5.1,3.2,2,38,6,5,303,7995,2.6,social,0.864,1.6,49.8,medium,310.4103
42,Female,8.2,7.7,6.2,3,38,10,7,335,10377,3.7,study,0.939,2.067,48.4,medium,855.4983
26,Male,4.5,,,7,87,8,2,39,9007,4.7,study,1.689,1.671,49.2,medium,889.3489
24,Female,5.3,5.7,11.2,1,76,9,8,41,2092,1.1,social,1.075,11.2,37.6,low,742.827
54,Male,8.1,8.9,,1,24,10,3,346,5357,4.2,study,1.099,3.3,66.2,medium,525.5179
20,Male,,3.1,4.7,3,86,9,3,64,7591,0.2,mixed,0.689,1.567,72.2,high,55.8088
30,Female,4.5,7.9,7.9,6,79,7,7,6,4714,4.1,study,1.756,1.317,51.3,medium,474.2904
45,Male,8.2,3.7,7.5,4,18,6,5,63,8879,4.2,gaming,0.451,1.875,44.1,medium,454.991
23,Male,4.8,4.0,5.7,7,64,10,6,377,9551,4.3,study,0.833,0.814,76.4,high,543.8724
20,Male,7.8,4.9,4.8,1,22,10,5,340,11412,4.8,study,0.628,4.8,53.6,medium,75.5152
25,Female,6.0,2.9,8.8,5,8,6,4,265,10151,4.2,study,0.483,1.76,47.5,medium,594.6462
23,Female,6.4,1.4,11.5,5,18,9,8,83,7016,2.1,mixed,0.219,2.3,40.0,medium,191.3447
27,Male,,5.0,,3,1,7,1,166,9414,4.5,social,0.962,1.9,51.1,medium,833.1245
48,Male,8.6,10.0,8.0,3,67,10,2,193,3213,3.5,study,1.163,2.667,57.6,medium,299.6642
29,Other,7.6,1.0,1.9,2,44,7,6,339,10792,2.3,study,0.132,0.95,43.8,medium,845.3101
25,Male,5.1,7.5,7.6,5,88,10,4,379,2460,3.7,study,1.471,1.52,73.0,high,717.5669
50,Male,4.7,6.2,10.6,5,88,4,8,258,9329,4.5,study,1.319,2.12,38.0,low,832.7099
20,Male,5.0,9.0,2.4,6,84,5,9,133,8698,4.1,study,1.8,0.4,54.6,medium,617.6229
25,Female,7.9,3.4,6.4,5,43,5,7,186,9709,3.3,study,0.43,1.28,19.8,low,292.2944
34,Female,,2.4,11.1,6,59,10,7,375,8207,1.9,mixed,0.511,1.85,49.0,medium,430.7847
35,Other,7.1,6.3,2.8,5,69,8,1,21,2220,3.2,study,0.887,0.56,45.3,medium,448.0608
39,Female,4.7,7.0,3.7,2,58,4,7,129,4468,0.5,social,1.489,1.85,68.2,medium,98.0718
46,Female,8.2,3.8,2.8,3,18,6,5,222,4076,1.8,mixed,0.463,0.933,49.5,medium,591.6462
40,Female,7.3,8.2,8.4,3,67,7,1,54,5368,2.0,gaming,1.123,2.8,45.9,medium,286.3961
46,Male,8.9,1.7,2.7,1,54,6,8,225,2619,4.7,study,0.191,2.7,40.0,medium,563.8228
38,Male,8.2,9.4,4.6,7,55,4,7,348,6979,3.6,study,1.146,0.657,50.8,medium,927.0295
39,Female,7.2,9.3,6.7,6,82,4,9,300,5033,1.7,gaming,1.292,1.117,41.1,medium,2.8933
34,Female,7.7,8.9,,5,20,8,7,23,3433,4.5,study,1.156,1.02,54.7,medium,424.5721
27,Male,7.1,4.9,,6,26,5,8,190,9843,4.6,gaming,0.69,0.117,45.0,medium,397.4377
51,Male,8.6,6.1,2.9,3,69,4,9,291,9343,4.6,study,0.709,0.967,36.6,low,261.6776
22,Female,8.9,9.1,5.1,6,36,5,9,224,7603,2.2,gaming,1.022,0.85,50.5,medium,569.4852
24,Female,8.9,4.5,7.2,4,11,6,1,178,1885,3.0,mixed,0.506,1.8,49.0,medium,636.0622
18,Female,4.6,9.6,1.9,2,31,8,5,331,7741,4.8,study,2.087,0.95,73.0,high,296.8337
19,Female,5.1,1.4,9.3,5,14,6,4,329,2294,4.6,study,0.275,1.86,53.2,medium,762.1872
52,Male,4.8,2.9,3.8,1,22,4,8,29,10447,0.8,mixed,0.604,3.8,70.8,high,966.0606
29,Other,7.0,8.2,10.2,2,69,7,8,300,5221,1.1,gaming,1.171,5.1,36.3,low,92.6404
36,Male,8.3,4.3,4.2,1,37,6,4,288,9388,2.4,mixed,0.518,4.2,45.6,medium,221.9026
20,Female,,8.4,3.0,2,61,5,9,53,10372,3.3,study,1.556,1.5,68.9,medium,564.5642
47,Female,6.7,2.1,1.4,7,26,9,8,1,6234,0.9,mixed,0.313,0.2,48.0,medium,111.0649
43,Male,5.1,3.8,3.3,6,78,6,3,210,3295,4.7,study,0.745,0.55,50.1,medium,651.0882
50,Male,8.7,2.6,9.8,2,75,5,8,88,4439,0.7,mixed,0.299,4.9,28.0,low,471.7894
30,Male,4.6,9.2,7.4,3,51,7,1,282,4611,1.5,gaming,2.0,2.467,66.7,medium,529.6466
30,Female,8.3,6.5,6.4,5,20,6,8,200,1827,3.3,study,0.783,1.28,43.8,medium,248.9778
33,Male,8.5,6.6,6.2,7,5,5,7,397,4167,4.9,study,0.776,0.886,55.1,medium,83.9123
18,Male,6.2,5.2,11.1,2,61,9,2,308,8213,2.0,social,0.839,5.55,40.1,medium,332.5264
40,Female,6.2,6.5,4.9,6,50,9,2,103,6872,1.2,gaming,1.048,0.817,51.3,medium,578.7822
36,Female,5.3,1.5,9.9,3,7,10,4,347,5453,2.9,mixed,0.283,3.3,57.1,medium,525.8332
37,Male,5.6,4.4,9.7,7,30,4,6,207,2940,5.0,study,0.786,1.386,44.6,medium,165.3952
31,Male,,8.9,6.7,6,50,6,9,315,3855,3.7,study,1.459,1.117,48.2,medium,663.3002
23,Male,7.4,16.0,5.0,1,4,7,7,284,3574,4.1,study,1.257,5.0,57.2,medium,668.8564
52,Male,6.3,5.4,11.1,4,10,4,9,302,9316,1.1,social,0.857,2.775,37.7,low,921.9961
40,Female,7.7,2.1,2.0,7,89,9,5,202,9434,1.4,mixed,0.273,0.286,39.7,low,672.7559
44,Male,5.5,4.9,0.6,7,86,5,5,69,2504,3.0,social,0.891,0.086,44.2,medium,689.2607
25,Female,,5.9,5.3,2,13,4,9,216,7713,2.3,social,0.855,2.65,43.2,medium,895.687
26,Male,6.4,6.6,7.2,6,14,8,4,187,10528,2.8,social,1.031,1.2,48.8,medium,763.6365
24,Male,5.0,9.5,9.8,5,25,7,5,364,8123,3.2,study,1.9,1.96,83.8,high,393.98
46,Male,7.2,5.2,2.0,1,45,9,6,344,6267,1.7,social,0.722,2.0,46.6,medium,624.7285
22,Female,5.9,3.9,1.6,4,17,9,3,181,1918,4.1,study,0.661,0.4,58.8,medium,905.1219
31,Female,5.4,9.1,0.7,1,85,4,5,370,7853,1.3,gaming,1.685,0.7,55.9,medium,371.0575
54,Other,6.7,1.6,4.4,7,14,4,2,142,9617,3.0,mixed,0.239,0.629,51.3,medium,864.5016
25,Male,5.1,2.2,3.2,2,6,6,9,223,7823,1.1,mixed,0.431,1.6,66.9,medium,708.1449
42,Male,7.8,8.7,6.9,3,16,7,5,27,7320,1.8,gaming,1.115,2.3,71.5,high,997.2063
25,Male,5.2,3.8,4.9,7,0,9,9,113,7792,1.5,mixed,0.731,0.7,75.6,high,162.2829
31,Female,5.0,5.1,2.5,6,6,10,8,329,11917,4.2,study,1.02,0.417,63.5,medium,678.0677
18,Female,4.7,4.7,6.7,6,20,6,5,86,5892,4.9,study,1.0,1.117,57.3,medium,287.6404
30,Male,5.9,3.4,2.1,7,14,5,8,395,3966,3.4,study,0.576,0.3,51.2,medium,77.1353
53,Female,8.0,9.5,3.4,5,72,8,9,143,8730,4.9,study,1.188,0.68,47.5,medium,397.1711
51,Male,7.3,7.4,7.9,2,80,4,3,9,10306,1.3,gaming,1.014,3.95,39.3,low,341.5227
48,Male,5.8,1.3,9.1,3,19,8,2,333,2484,1.4,mixed,0.224,3.033,49.9,medium,57.6761
53,Male,5.3,2.9,4.3,1,44,5,1,141,6625,3.8,study,0.547,4.3,55.6,medium,112.1158
22,Female,7.0,1.6,5.3,3,12,9,1,203,10827,0.7,social,0.229,1.767,54.2,medium,846.1038
27,Female,7.8,4.8,10.4,1,20,10,3,397,7238,1.6,study,0.615,10.4,48.2,medium,805.61
33,Female,,5.2,6.1,7,36,10,6,399,9846,3.6,study,0.667,0.871,47.5,medium,210.7104
23,Male,6.4,4.3,11.3,7,72,5,4,11,2193,1.3,mixed,0.672,1.614,31.5,low,893.1111
54,Female,8.1,9.5,8.3,1,0,10,1,34,6656,3.3,study,1.173,8.3,65.9,medium,1.9952
22,Male,4.9,8.6,8.7,2,60,7,6,53,6149,2.8,gaming,1.755,4.35,27.4,low,439.3284
38,Male,7.9,6.9,9.6,3,85,5,9,291,1654,1.6,study,0.873,3.2,28.6,low,276.6923
53,Female,,8.9,4.4,7,63,4,2,266,6630,2.3,gaming,1.618,0.629,59.8,medium,547.4849
30,Male,7.0,5.3,11.8,1,27,4,5,15,6494,1.1,social,0.757,11.8,37.3,low,289.0732
50,Male,6.4,4.8,5.0,5,51,6,2,215,8419,0.8,study,0.75,1.0,44.8,medium,927.6458
