age,gender,screen_time_hours,sleep_hours,distance_travelled_km,places_visited,exercise_minutes,work_hours,social_score,caffeine_mg,step_count,study_hours,phone_usage_type,screen_to_sleep_ratio,movement_intensity,stress_score,stress_level,random_noise_feature
32,Female,2.5,8.6,2.3,4,32,11,1,223,12599,5.3,study,0.291,0.575,60.4,medium,979.8786
35,Male,9.5,4.6,9.5,7,2,6,2,120,8824,3.3,gaming,2.065,1.357,69.0,medium,445.6512
38,Male,5.9,5.4,0.8,6,76,9,5,169,10698,1.5,social,1.093,0.133,43.6,medium,937.5179
37,Female,2.4,5.4,12.4,2,61,7,3,407,8566,2.6,mixed,0.444,6.2,34.9,low,596.768
30,Male,5.2,8.8,10.8,2,106,8,2,229,13467,1.5,social,0.591,5.4,24.7,low,210.8385
49,Female,4.8,4.7,6.5,2,86,10,5,355,1848,5.3,study,1.021,3.25,45.9,medium,826.5784
55,Male,4.7,5.4,9.3,6,31,11,3,187,14878,5.4,study,0.87,1.55,53.5,medium,409.6929
29,Male,5.2,7.3,7.1,4,60,4,8,335,7369,5.4,study,0.712,1.775,32.2,low,890.5265
34,Female,7.6,6.4,0.7,4,55,4,9,400,9995,2.1,social,1.187,0.175,44.6,medium,639.7577
28,Other,9.6,7.2,6.0,7,43,8,2,391,7785,0.2,gaming,1.333,0.857,58.9,medium,697.1844
53,Female,6.4,5.0,9.7,5,48,11,1,291,9972,5.0,study,1.28,1.94,72.4,high,453.0775
55,Female,2.8,7.4,8.1,7,9,8,7,358,3737,4.5,study,0.378,1.157,40.0,medium,189.5042
49,Male,7.1,6.6,9.2,9,54,6,5,190,2006,5.5,study,1.076,1.022,38.3,low,825.2763
51,Male,8.8,7.4,13.0,8,95,10,2,481,12855,2.7,gaming,1.189,1.625,38.8,low,614.4575
43,Female,9.5,4.4,12.4,8,45,4,8,182,4086,0.8,gaming,2.159,1.55,54.1,medium,526.803
39,Female,5.4,7.6,14.8,6,112,4,1,215,10849,1.5,social,0.711,2.467,5.0,low,904.4693
23,Male,7.1,6.0,7.1,3,108,9,8,309,12979,2.1,social,1.183,2.367,27.0,low,211.7561
50,Male,3.4,4.3,3.2,5,7,10,5,350,12701,4.9,study,0.791,0.64,67.3,medium,379.878
19,Other,3.4,6.6,12.7,8,58,4,1,82,14860,0.3,mixed,0.515,1.588,32.6,low,904.1301
50,Male,3.2,8.8,8.8,4,0,5,3,194,2870,3.5,mixed,0.364,2.2,43.7,medium,390.1535
19,Female,7.4,8.5,6.9,8,83,9,2,53,13128,0.5,study,0.871,0.862,40.8,medium,554.2686
33,Male,5.4,8.5,10.6,6,106,9,9,65,7795,2.7,social,0.635,1.767,16.6,low,255.242
29,Female,2.4,7.8,2.7,4,111,7,4,413,10202,1.6,mixed,0.308,0.675,22.3,low,640.2975
24,Male,6.2,8.0,0.7,3,92,7,3,258,7344,4.8,study,0.775,0.233,38.8,low,722.282
30,Female,8.8,7.5,1.3,2,52,11,5,229,1787,0.9,gaming,1.173,0.65,62.8,medium,259.596
41,Female,4.2,7.0,12.3,8,37,9,5,144,13106,1.7,mixed,0.6,1.538,32.6,low,69.817
39,Male,5.1,8.7,7.3,6,117,6,4,24,14959,0.4,social,0.586,1.217,25.3,low,282.5673
22,Male,8.0,8.1,6.7,7,52,4,9,319,11749,5.2,study,0.988,0.957,41.2,medium,964.7833
45,Male,6.6,6.5,9.4,3,58,5,2,287,4676,4.4,study,1.015,3.133,38.8,low,903.9754
53,Female,9.6,8.8,7.5,5,23,11,7,52,5142,5.4,gaming,1.091,1.5,62.7,medium,440.6556
44,Male,5.9,4.4,8.2,8,106,8,1,440,8153,3.3,social,1.341,1.025,42.6,medium,799.0698
58,Male,7.0,8.7,,3,18,8,4,290,1606,1.1,social,0.805,2.333,49.2,medium,645.4476
40,Male,3.5,4.7,11.3,8,14,8,4,121,6149,1.7,mixed,0.745,1.412,49.1,medium,618.0183
56,Female,5.9,5.0,13.7,4,39,8,6,486,8630,0.0,social,1.18,3.425,37.0,low,168.7218
19,Male,18.0,8.1,5.4,7,23,6,5,216,4240,4.2,study,0.407,0.771,45.8,medium,890.8359
34,Female,3.6,8.1,3.7,3,77,7,5,355,4376,2.9,mixed,0.444,1.233,37.6,low,342.5298
38,Female,7.5,7.3,7.2,8,78,10,3,445,1195,1.8,social,1.027,0.9,44.5,medium,703.7028
19,Male,8.6,7.3,,6,86,7,2,78,7669,5.8,gaming,1.178,0.25,66.9,medium,423.2383
38,Female,2.5,8.6,11.2,7,78,10,5,408,3173,0.8,mixed,0.291,1.6,30.1,low,330.3144
40,Male,5.7,5.7,1.0,7,20,6,9,84,3101,4.8,study,1.0,0.143,47.6,medium,531.5441
41,Female,8.4,5.3,14.2,3,105,4,6,11,8513,3.7,gaming,1.585,4.733,18.8,low,499.2822
24,Male,9.1,4.7,7.4,8,44,5,2,202,9563,0.8,gaming,1.936,0.925,65.0,medium,983.6533
53,Female,5.0,5.9,7.5,7,27,8,7,41,4183,3.4,mixed,0.847,1.071,40.2,medium,854.3886
34,Female,4.5,8.0,13.1,9,59,9,2,119,3914,3.8,gaming,0.562,1.456,30.7,low,901.6331
49,Male,8.8,8.2,11.0,5,50,8,1,269,4237,3.3,mixed,1.073,2.2,48.0,medium,743.9521
28,Female,4.1,8.2,9.9,6,50,9,1,464,12251,2.3,mixed,0.5,1.65,38.4,low,210.4839
43,Male,6.6,6.0,13.2,8,33,5,2,37,2557,6.0,study,1.1,1.65,38.1,low,955.4059
45,Male,3.3,5.3,,4,84,4,3,433,3911,3.2,mixed,0.623,0.5,45.2,medium,274.9553
48,Female,8.7,6.2,10.6,8,107,10,7,431,14083,4.7,gaming,1.403,1.325,33.6,low,472.2302
18,Female,6.1,6.3,11.3,3,105,7,7,244,4111,3.4,social,0.968,3.767,18.5,low,945.9446
18,Male,7.4,,7.9,8,39,7,3,100,14595,3.1,social,1.48,0.988,54.9,medium,124.0324
46,Male,2.4,6.7,10.0,3,61,4,5,37,2572,4.4,study,0.358,3.333,31.3,low,721.4693
55,Female,8.0,5.1,10.7,4,115,8,7,164,13645,1.5,social,1.569,2.675,32.3,low,5.4302
58,Male,4.1,7.8,11.7,2,8,5,9,8,12940,3.5,mixed,0.526,5.85,32.2,low,662.4978
30,Male,8.4,4.9,10.5,2,115,9,6,402,3894,1.2,gaming,1.714,5.25,37.0,low,716.326
27,Male,4.3,6.6,14.9,7,83,5,5,122,3068,4.0,mixed,0.652,2.129,19.5,low,823.1757
26,Female,8.0,5.3,35.0,8,35,8,8,376,11034,0.0,social,1.509,0.25,57.0,medium,209.3564
39,Female,9.5,6.5,14.3,5,49,9,6,31,1134,4.0,gaming,1.462,2.86,40.0,medium,542.38
56,Male,8.6,5.3,3.6,1,68,6,9,443,9205,5.2,gaming,1.623,3.6,18.8,low,575.481
25,Male,9.8,8.7,4.2,3,2,6,1,300,11505,1.0,gaming,1.126,1.4,68.2,medium,702.8266
44,Male,3.5,6.7,70.0,8,3,4,4,159,9443,4.1,study,0.522,0.512,49.6,medium,316.4026
56,Female,3.2,4.9,8.7,2,66,8,6,53,14527,2.4,mixed,0.653,4.35,39.8,low,711.0528
52,Male,8.3,6.7,13.6,7,66,8,6,422,11792,2.1,social,1.239,1.943,32.9,low,459.5382
37,Male,2.2,8.6,8.8,6,102,8,8,212,2037,1.2,mixed,0.256,1.467,21.3,low,298.4705
27,Female,,,7.3,3,0,8,7,396,8433,5.9,gaming,1.229,2.433,51.6,medium,421.1152
45,Female,4.3,4.3,4.7,2,85,11,3,250,8796,5.6,study,1.0,2.35,58.5,medium,703.6616
53,Female,7.9,6.2,11.4,5,41,6,4,133,1125,2.4,social,1.274,2.28,42.0,medium,333.0716
52,Male,9.1,7.9,2.9,3,92,4,7,289,4461,2.0,gaming,1.152,0.967,45.6,medium,223.6901
38,Female,3.0,8.0,9.1,1,97,11,7,494,14720,3.0,mixed,0.375,9.1,31.1,low,985.6183
32,Male,8.4,6.4,13.0,1,12,8,3,137,3751,5.3,gaming,1.312,13.0,47.0,medium,565.7051
36,Female,,6.5,4.5,5,8,4,2,224,4464,3.2,gaming,1.369,0.9,63.0,medium,930.1149
37,Male,6.5,4.8,4.3,7,97,9,4,437,10316,5.2,study,1.354,0.614,45.5,medium,559.7452
52,Male,4.2,6.7,9.0,8,34,7,5,338,13720,3.8,mixed,0.627,1.125,27.7,low,444.2575
44,Female,8.8,5.3,5.7,4,52,11,9,315,8875,0.1,gaming,1.66,1.425,78.8,high,894.9422
50,Male,8.4,5.1,14.1,9,37,8,4,268,4046,1.2,gaming,1.647,1.567,48.0,medium,800.4639
35,Male,5.0,8.2,10.9,3,101,4,8,281,7417,2.8,mixed,0.61,3.633,18.3,low,561.7836
20,Male,7.4,5.4,3.0,3,110,5,2,385,2633,5.5,study,1.37,1.0,46.0,medium,13.2353
50,Female,5.9,5.9,14.9,5,18,7,1,364,5210,4.9,study,1.0,2.98,37.7,low,536.5635
31,Female,5.6,6.1,6.6,6,104,11,4,428,2525,0.7,social,0.918,1.1,37.0,low,743.197
23,Male,6.5,,11.0,8,2,7,7,49,5724,3.6,social,1.512,1.375,67.5,medium,932.177
59,Male,3.3,7.0,0.5,8,1,5,7,201,2383,1.0,mixed,0.471,0.062,47.6,medium,123.389
44,Male,9.7,6.2,6.5,8,58,10,2,200,10402,2.6,social,1.565,0.812,79.5,high,702.4851
21,Male,2.4,4.4,3.4,3,105,7,8,384,4953,4.6,study,0.545,1.133,41.6,medium,399.5998
38,Female,2.1,4.5,1.4,2,85,7,1,47,11001,1.9,gaming,0.467,0.7,66.6,medium,942.4865
44,Male,6.3,8.0,2.9,2,116,8,9,339,7840,5.5,social,0.788,1.45,27.2,low,337.9004
47,Female,4.8,5.3,4.1,9,58,8,5,355,6663,5.7,study,0.906,0.456,46.4,medium,616.4181
36,Female,4.7,5.6,10.8,4,66,10,4,443,7609,0.5,mixed,0.839,2.7,37.5,low,146.8429
22,Female,4.7,7.4,10.9,8,105,5,5,447,14017,4.1,study,0.635,1.362,21.1,low,213.2876
52,Female,3.8,9.0,13.4,9,91,8,5,112,14341,5.3,study,0.422,1.489,20.2,low,690.1118
26,Female,2.6,,4.2,4,87,5,5,393,1353,1.8,mixed,0.565,1.05,46.0,medium,925.1792
58,Male,,,4.1,4,58,7,2,291,10025,3.0,mixed,0.803,1.025,44.4,medium,422.4299
27,Male,6.5,8.5,3.7,9,0,8,9,163,10991,0.2,social,0.765,0.411,46.2,medium,392.2643
31,Male,8.5,5.7,2.1,9,95,6,6,256,12571,5.8,gaming,1.491,0.233,46.2,medium,83.1267
52,Female,2.1,6.0,13.8,6,94,8,8,190,2933,0.3,mixed,0.35,2.3,15.4,low,46.2702
22,Male,6.3,4.8,1.6,6,86,4,8,433,7465,5.9,study,1.312,0.267,44.0,medium,686.0883
37,Female,10.0,6.6,4.7,7,61,7,2,12,4371,0.5,gaming,1.515,0.671,76.8,high,511.8705
19,Male,7.3,4.8,4.2,2,52,6,2,159,4654,2.0,social,1.521,2.1,60.2,medium,797.5854
19,Female,3.1,4.1,8.6,1,90,7,1,402,6471,3.5,mixed,0.756,8.6,35.8,low,178.7616
47,Female,7.5,8.4,3.5,7,5,5,6,297,11273,3.8,study,0.893,0.5,54.0,medium,1.1681
57,Female,6.3,4.7,14.6,2,86,6,1,322,8608,1.7,social,1.34,7.3,35.8,low,327.2123
37,Male,9.6,8.1,0.8,6,22,10,9,69,12065,4.6,gaming,1.185,0.133,63.2,medium,33.6154
36,Female,9.9,5.2,14.1,6,35,11,9,399,8691,2.6,gaming,1.904,2.35,55.6,medium,877.808
46,Female,7.2,7.8,5.6,6,72,7,4,67,10011,4.6,study,0.923,0.933,41.7,medium,172.1081
47,Male,5.1,,0.6,9,8,4,7,236,14550,4.6,study,0.785,0.067,47.6,medium,650.3057
21,Female,3.1,4.6,14.0,9,18,6,8,81,13749,0.8,mixed,0.674,1.556,41.1,medium,183.5305
48,Female,,5.1,8.7,3,35,11,3,107,8836,2.3,social,1.235,2.9,57.3,medium,311.1371
35,Female,9.8,4.4,2.1,9,90,8,3,155,9018,0.2,gaming,2.227,0.233,66.4,medium,835.0855
45,Female,2.3,5.2,2.0,9,105,8,7,279,3912,4.4,study,0.442,0.222,37.0,low,947.4759
59,Female,6.1,6.2,2.4,6,111,7,8,101,4296,5.7,study,0.984,0.4,28.3,low,455.6134
30,Male,7.3,6.0,10.5,2,16,7,8,334,10941,4.9,study,1.217,5.25,40.4,medium,81.0372
35,Male,4.4,4.0,8.9,4,44,10,9,499,14027,1.6,gaming,1.1,2.225,51.6,medium,831.6554
57,Female,6.0,7.5,13.0,9,0,8,6,367,12750,1.0,social,0.8,1.444,33.8,low,310.6627
39,Male,8.7,4.8,1.4,3,118,10,2,297,14845,4.2,gaming,1.812,0.467,46.6,medium,814.9032
58,Male,2.8,4.7,3.3,1,79,5,9,103,5264,0.2,mixed,0.596,3.3,43.3,medium,323.1824
43,Male,7.1,6.6,7.4,5,107,10,1,239,13679,2.8,social,1.076,1.48,39.2,low,953.3493
29,Female,8.1,6.5,14.0,9,62,4,3,292,11899,1.9,gaming,1.246,1.556,35.9,low,373.4887
37,Male,4.6,4.5,10.8,3,54,7,3,405,4613,3.3,mixed,1.022,3.6,45.9,medium,466.4884
43,Male,7.5,5.1,5.8,1,53,6,3,11,1999,2.3,social,1.471,5.8,54.8,medium,489.6506
42,Female,9.5,4.5,2.3,8,19,5,9,376,14526,5.1,study,2.111,0.288,71.2,high,785.2487
53,Female,6.4,6.5,5.1,5,39,10,6,357,1097,0.5,social,0.985,1.02,47.5,medium,913.1539
23,Female,2.5,8.9,13.9,7,70,6,3,228,14309,0.4,mixed,0.281,1.986,26.0,low,230.1327
34,Male,6.8,6.9,9.9,7,4,9,2,367,14947,0.9,social,0.986,1.414,46.5,medium,142.1523
46,Female,9.5,7.4,4.7,9,51,4,8,269,5100,3.3,gaming,1.284,0.522,84.9,high,390.9038
54,Female,,7.6,10.0,5,25,9,8,26,7250,0.2,mixed,0.5,2.0,34.9,low,304.0412
44,Male,7.2,4.3,6.2,4,32,8,1,264,2394,0.1,social,1.674,1.55,43.1,medium,106.1206
36,Female,5.7,8.1,13.9,5,83,10,8,341,1166,4.4,study,0.704,2.78,21.4,low,503.202
47,Female,7.9,4.7,7.8,2,59,11,6,172,10176,4.8,study,1.681,3.9,59.8,medium,624.6718
18,Female,4.5,5.9,4.3,2,38,8,1,162,8860,2.0,mixed,0.763,2.15,63.9,medium,877.1513
23,Male,9.3,8.0,5.8,9,92,8,6,407,11444,1.7,gaming,1.162,0.644,43.4,medium,956.7251
36,Male,9.5,6.6,2.3,1,45,11,1,288,7372,2.3,gaming,1.439,2.3,71.8,high,249.2717
34,Female,5.1,4.2,13.7,7,114,6,4,115,8502,5.3,study,1.214,1.957,30.8,low,442.5856
31,Male,7.8,5.3,0.7,2,26,6,3,470,14855,1.4,social,1.472,0.35,77.8,high,868.0373
37,Other,5.2,6.3,6.3,5,94,8,3,407,6290,5.8,study,0.825,1.26,32.7,low,721.2725
34,Female,3.2,4.3,1.5,7,61,7,9,264,13997,1.3,mixed,0.744,0.214,50.6,medium,635.9464
33,Female,6.6,7.5,13.8,1,103,11,2,430,6248,4.9,study,0.88,13.8,31.2,low,272.3659
49,Male,9.3,6.1,14.2,2,13,6,1,468,13593,5.5,gaming,1.525,7.1,51.2,medium,51.9092
28,Male,4.4,6.7,7.1,5,13,4,2,378,1201,4.0,mixed,0.657,1.42,59.4,medium,387.5766
54,Male,8.4,8.4,12.9,4,117,4,4,243,4140,5.7,gaming,1.0,3.225,26.6,low,258.0495
32,Male,6.6,5.1,6.2,5,9,10,1,168,10140,2.8,social,1.294,1.24,63.6,medium,856.2083
54,Male,2.4,6.5,5.1,8,24,11,4,349,3912,3.4,gaming,0.369,0.638,55.3,medium,732.8516
54,Female,6.9,6.4,14.4,2,44,11,4,229,6970,3.4,social,1.078,7.2,40.9,medium,296.7774
27,Male,4.4,7.3,5.5,8,73,5,9,255,5684,5.8,study,0.603,0.688,61.4,medium,594.6655
25,Male,8.2,5.2,4.6,4,117,10,1,314,9766,2.1,gaming,1.577,1.15,52.2,medium,302.8542
33,Male,2.1,4.8,,4,6,5,2,260,3151,2.4,mixed,0.438,1.8,70.3,high,276.887
53,Male,5.3,7.6,11.7,5,95,5,6,256,8519,5.7,study,0.697,2.34,27.4,low,579.3617
50,Male,8.7,7.4,7.6,2,117,9,6,95,10210,2.1,gaming,1.176,3.8,33.3,low,217.5431
54,Female,8.7,,3.8,1,51,8,1,259,3910,2.3,gaming,1.074,3.8,58.2,medium,681.4879
36,Female,5.9,8.6,10.7,9,43,7,4,418,2641,3.4,social,0.686,1.189,35.1,low,18.0501
22,Male,5.4,5.6,9.3,2,68,5,9,471,11690,3.5,social,0.964,4.65,29.3,low,703.8892
24,Female,4.5,7.8,8.4,7,103,11,2,472,8906,0.7,mixed,0.577,1.2,36.9,low,601.8784
31,Female,9.7,8.2,9.1,9,45,8,8,113,5447,4.6,gaming,1.183,1.011,47.0,medium,557.4269
30,Female,3.8,6.7,50.0,4,84,7,4,395,8121,4.3,study,0.567,1.15,36.0,low,874.1473
25,Female,4.2,8.6,6.5,9,29,9,6,481,5161,0.9,mixed,0.488,0.722,41.8,medium,855.1631
46,Female,2.1,5.7,2.5,2,109,6,3,41,11851,3.1,mixed,0.368,1.25,37.0,low,580.2447
57,Male,5.5,4.2,11.3,6,99,5,7,69,6188,1.7,social,1.31,1.883,33.8,low,460.9359
59,Female,5.7,8.5,7.2,8,111,8,8,100,3946,4.1,study,0.671,0.9,21.9,low,89.0566
53,Male,2.0,7.7,14.6,5,67,8,5,53,2514,2.2,mixed,0.26,2.92,23.2,low,586.0379
55,Female,4.3,5.2,3.5,8,73,9,8,338,5043,4.5,mixed,0.827,0.438,41.4,medium,240.3505
52,Male,7.0,4.5,11.4,5,11,4,9,254,13411,3.9,social,1.556,2.28,48.6,medium,201.1768
51,Male,3.9,5.7,0.6,9,39,10,8,239,8585,0.2,gaming,0.684,0.067,49.0,medium,946.0499
42,Female,3.1,4.1,4.7,7,7,8,5,374,10894,2.7,mixed,0.756,0.671,62.7,medium,269.8979
25,Male,5.7,7.6,10.2,5,100,4,7,213,12964,4.7,study,0.75,2.04,20.8,low,496.0969
59,Female,6.9,8.7,14.7,2,0,9,2,364,3644,1.7,social,0.793,7.35,39.7,low,101.5559
49,Male,5.2,8.3,11.7,2,84,5,9,482,10590,2.5,gaming,0.627,5.85,19.4,low,697.9868
49,Male,7.4,5.2,5.5,3,40,4,1,225,14279,2.4,social,1.423,1.833,59.0,medium,355.7368
58,Female,4.8,8.6,3.4,8,13,7,7,222,7173,1.6,mixed,0.558,0.425,47.0,medium,920.2449
43,Female,4.8,4.6,4.0,4,59,6,4,490,8882,2.6,mixed,1.043,1.0,53.1,medium,456.4513
25,Female,5.5,4.8,12.0,1,55,6,4,187,7714,5.3,study,1.146,12.0,40.3,medium,429.8636
37,Female,5.6,8.7,7.1,9,38,6,2,103,3257,3.5,social,0.644,0.789,43.9,medium,385.0357
43,Male,9.6,8.6,,8,72,11,8,261,7389,5.1,gaming,1.116,1.1,49.7,medium,103.7872
23,Female,3.9,6.4,8.0,2,30,7,4,274,7871,1.2,mixed,0.609,4.0,41.7,medium,210.4334
43,Male,4.5,6.3,3.8,5,117,11,6,310,12312,2.4,mixed,0.714,0.76,36.2,low,376.1423
20,Male,6.8,6.3,,4,3,7,5,284,8256,5.4,study,1.079,0.6,64.0,medium,110.6894
29,Female,6.1,4.9,11.2,3,53,10,3,178,10200,3.5,social,1.245,3.733,46.7,medium,448.0461
54,Other,5.5,4.5,6.7,8,108,5,9,275,14423,0.5,social,1.222,0.838,34.0,low,593.4492
50,Male,9.5,15.0,10.3,4,4,10,4,389,4351,1.6,gaming,1.203,2.575,58.2,medium,153.2008
37,Female,3.1,5.8,,6,62,4,9,348,12301,2.3,mixed,0.534,1.783,26.9,low,844.3892
43,Male,2.0,5.8,14.7,2,117,9,8,88,7798,2.8,mixed,0.345,7.35,11.1,low,230.3228
35,Female,9.8,8.0,12.3,1,29,5,2,13,3400,0.2,mixed,1.225,12.3,53.1,medium,309.4664
35,Female,6.6,4.4,5.0,5,33,6,5,303,6050,5.9,study,1.5,1.0,59.6,medium,541.5541
49,Female,5.5,7.0,13.1,8,20,8,7,3,7717,1.1,social,0.786,1.638,32.5,low,908.6053
50,Female,8.3,8.5,0.9,3,103,9,1,73,8455,2.4,gaming,0.976,0.3,47.4,medium,671.1849
48,Male,3.3,5.1,5.3,8,71,4,3,442,4231,5.7,study,0.647,0.662,45.9,medium,845.8694
53,Female,2.8,7.8,14.8,2,68,5,4,226,13193,0.1,mixed,0.359,7.4,23.9,low,187.2135
47,Female,8.5,6.2,9.3,4,67,4,4,370,12875,2.0,gaming,1.371,2.325,42.4,medium,813.003
25,Male,6.4,,14.2,6,60,5,4,147,6194,1.0,social,0.753,2.367,28.0,low,692.4166
39,Male,4.3,5.0,4.8,2,2,4,2,76,5278,4.4,study,0.86,2.4,75.0,high,418.951
55,Male,2.8,8.9,2.9,5,78,6,2,78,3774,5.6,study,0.315,0.58,42.0,medium,698.2273
41,Female,7.1,7.4,12.8,6,110,8,6,205,11796,4.1,social,0.959,2.133,42.1,medium,214.9844
35,Male,7.5,4.6,,6,0,9,3,464,7485,4.2,study,1.63,0.25,69.6,medium,571.9106
32,Female,8.1,8.4,3.7,4,52,10,4,104,7088,4.9,gaming,0.964,0.925,56.2,medium,650.5218
31,Male,7.8,6.7,11.2,4,116,5,1,391,2413,0.4,social,1.164,2.8,30.5,low,919.9738
37,Female,7.3,8.3,2.0,4,30,10,8,319,1364,3.1,social,0.88,0.5,73.0,high,851.4122
38,Male,9.4,6.2,5.4,7,89,5,9,207,14888,1.3,gaming,1.516,0.771,41.4,medium,82.0456
47,Female,6.3,5.0,13.2,7,65,11,4,410,1029,5.1,study,1.26,1.886,67.7,medium,330.8132
50,Female,9.3,8.1,5.3,5,78,5,7,266,6597,1.7,gaming,1.148,1.06,45.8,medium,961.2444
33,Male,2.4,6.1,0.8,7,33,11,4,438,13381,5.1,mixed,0.393,0.114,56.6,medium,418.5096
28,Male,3.7,,13.2,8,19,5,9,291,13559,4.3,study,0.474,1.65,13.2,low,508.0385
57,Male,7.2,7.8,14.4,1,44,7,1,12,10443,2.4,social,0.923,14.4,37.7,low,316.4388
46,Male,4.1,15.0,2.2,2,63,4,6,272,11301,5.0,study,0.695,1.1,41.0,medium,501.0315
40,Female,5.7,5.6,6.9,2,50,8,7,277,11728,5.2,study,1.018,3.45,39.0,low,932.6981
32,Female,7.9,4.2,1.1,5,87,4,7,374,8739,0.3,social,1.881,0.22,56.2,medium,895.6486
32,Male,3.6,7.8,9.0,7,94,7,2,53,7241,5.3,study,0.462,1.286,29.8,low,547.3278
29,Male,4.5,5.7,11.2,2,94,11,1,496,13231,1.1,mixed,0.789,5.6,38.1,low,152.995
39,Female,8.8,4.5,1.1,8,49,10,8,219,10629,3.4,gaming,1.956,0.138,67.8,medium,377.803
59,Male,2.2,8.6,9.1,3,43,9,6,210,3782,0.1,mixed,0.256,3.033,35.0,low,397.0473
52,Male,9.7,7.3,6.0,7,109,6,6,12,4384,4.4,gaming,1.329,0.857,64.3,medium,489.3863
26,Female,9.3,16.0,7.5,9,48,4,8,454,13592,4.4,study,1.824,0.833,73.0,high,879.2575
50,Male,2.4,6.9,13.3,5,16,8,4,455,2256,2.8,social,0.348,2.66,35.8,low,9.706
26,Female,4.8,7.2,3.3,7,9,11,9,497,7540,3.6,mixed,0.667,0.471,70.8,high,829.6956
19,Male,7.6,5.0,7.2,9,21,11,1,482,11543,0.7,social,1.52,0.8,70.7,high,523.5255
48,Female,6.6,5.8,11.8,8,119,5,2,143,11417,2.0,social,1.138,1.475,24.6,low,556.6186
41,Male,5.1,8.9,0.8,9,83,7,3,266,13741,5.0,study,0.573,0.089,39.8,low,867.4476
56,Male,3.1,7.2,35.0,8,32,8,8,186,4849,5.4,study,0.431,1.788,27.0,low,42.6309
21,Male,5.9,7.1,6.6,5,0,5,8,23,3620,5.8,study,0.831,1.32,41.0,medium,398.1748
